"time","country","variable","value"
"1995Q1","AT","GDP",45115.4
"1995Q1","CZ","GDP",10523
"1995Q1","DE","GDP",472917.2
"1995Q2","AT","GDP",46013
"1995Q2","CZ","GDP",10787.7
"1995Q2","DE","GDP",486953.8
"1995Q3","AT","GDP",45745.5
"1995Q3","CZ","GDP",11294.7
"1995Q3","DE","GDP",484719.7
"1995Q4","AT","GDP",46070.6
"1995Q4","CZ","GDP",11569.6
"1995Q4","DE","GDP",486095.3
"1996Q1","AT","GDP",46267.6
"1996Q1","CZ","GDP",12196.6
"1996Q1","DE","GDP",477984.9
"1996Q2","AT","GDP",46217.5
"1996Q2","CZ","GDP",12554.6
"1996Q2","DE","GDP",479710.8
"1996Q3","AT","GDP",46301.2
"1996Q3","CZ","GDP",13077.4
"1996Q3","DE","GDP",483347.7
"1996Q4","AT","GDP",45982.1
"1996Q4","CZ","GDP",13269
"1996Q4","DE","GDP",480637.8
"1997Q1","AT","GDP",45359.5
"1997Q1","CZ","GDP",13753
"1997Q1","DE","GDP",473217.7
"1997Q2","AT","GDP",45679.5
"1997Q2","CZ","GDP",13031.4
"1997Q2","DE","GDP",476954.3
"1997Q3","AT","GDP",45949.3
"1997Q3","CZ","GDP",12826.2
"1997Q3","DE","GDP",476053.7
"1997Q4","AT","GDP",46543
"1997Q4","CZ","GDP",12903.6
"1997Q4","DE","GDP",480611.9
"1998Q1","AT","GDP",47035.1
"1998Q1","CZ","GDP",13326.7
"1998Q1","DE","GDP",482194.9
"1998Q2","AT","GDP",47676.5
"1998Q2","CZ","GDP",14145.7
"1998Q2","DE","GDP",484122.9
"1998Q3","AT","GDP",47577
"1998Q3","CZ","GDP",14813.5
"1998Q3","DE","GDP",487222
"1998Q4","AT","GDP",48220.8
"1998Q4","CZ","GDP",14891.3
"1998Q4","DE","GDP",491227.4
"1999Q1","AT","GDP",48726.6
"1999Q1","CZ","GDP",14034
"1999Q1","DE","GDP",494030
"1999Q2","AT","GDP",49310.4
"1999Q2","CZ","GDP",14228
"1999Q2","DE","GDP",495750
"1999Q3","AT","GDP",50095.8
"1999Q3","CZ","GDP",14815.6
"1999Q3","DE","GDP",500460
"1999Q4","AT","GDP",50791.1
"1999Q4","CZ","GDP",15057.2
"1999Q4","DE","GDP",505720
"2000Q1","AT","GDP",51305.2
"2000Q1","CZ","GDP",15337.9
"2000Q1","DE","GDP",508830
"2000Q2","AT","GDP",51882.6
"2000Q2","CZ","GDP",15608.3
"2000Q2","DE","GDP",512350
"2000Q3","AT","GDP",52539.4
"2000Q3","CZ","GDP",16227.9
"2000Q3","DE","GDP",512950
"2000Q4","AT","GDP",53136.1
"2000Q4","CZ","GDP",16669.4
"2000Q4","DE","GDP",513800
"2001Q1","AT","GDP",53333.8
"2001Q1","CZ","GDP",17097.7
"2001Q1","DE","GDP",523310
"2001Q2","AT","GDP",53346.2
"2001Q2","CZ","GDP",17805.7
"2001Q2","DE","GDP",524420
"2001Q3","AT","GDP",53679.9
"2001Q3","CZ","GDP",18167.1
"2001Q3","DE","GDP",525160
"2001Q4","AT","GDP",54235.8
"2001Q4","CZ","GDP",18913.6
"2001Q4","DE","GDP",532020
"2002Q1","AT","GDP",54856.5
"2002Q1","CZ","GDP",19868.6
"2002Q1","DE","GDP",530950
"2002Q2","AT","GDP",55305.6
"2002Q2","CZ","GDP",21031.5
"2002Q2","DE","GDP",530110
"2002Q3","AT","GDP",55396.5
"2002Q3","CZ","GDP",21301.2
"2002Q3","DE","GDP",536200
"2002Q4","AT","GDP",55511.9
"2002Q4","CZ","GDP",21161.3
