"time","ES11","ES12","ES13","ES21","ES22","ES23","ES24","ES30","ES41","ES42","ES43","ES51","ES52","ES53","ES61","ES62","ES63","ES64","ES70"
2005,75,80,85,113,113,97,98,120,84,73,61,107,83,101,70,76,79,78,84
2006,77,83,86,116,114,98,99,122,84,74,61,109,84,100,71,77,79,77,83
2007,79,83,86,116,113,98,100,121,85,74,62,108,83,98,71,76,78,74,81
2008,81,86,87,120,115,100,102,123,86,75,64,108,84,98,71,78,79,75,81
2009,84,86,89,122,118,101,103,128,89,77,66,111,84,99,72,78,82,77,82
2010,81,83,85,118,113,98,101,122,86,74,64,107,81,95,69,75,77,72,79
2011,77,80,81,114,109,94,96,119,83,71,61,102,77,91,66,71,73,68,76
2012,73,75,77,110,103,90,91,114,79,67,58,98,72,87,63,68,69,63,71
2013,73,73,75,108,102,89,91,113,77,66,57,97,72,86,61,68,69,62,70
2014,71,71,74,107,101,88,89,111,76,63,55,96,71,85,60,66,66,60,68
2015,71,70,72,106,100,87,87,110,75,63,55,96,70,83,59,66,65,59,66
2016,74,72,74,109,103,87,90,113,78,65,57,99,73,86,61,68,66,60,68
