"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2010,"AT11","AT",7430.66341246949,283697,4449.33614271091
2010,"AT13","AT",86676.2813401376,1689995,265.219998763031
2010,"AT32","AT",24258.9305524739,526730,7480.32361633571
2010,"AT34","AT",14914.5773241624,368366,2634.2200822706
2010,"AT21","AT",18395.8287108942,557998,9393.46904950528
2010,"AT33","AT",28390.2817838917,704662,12339.7244448897
2010,"AT31","AT",55016.6407810073,1409253,11899.5970177095
2010,"AT12","AT",51349.0126469936,1605897,20165.2826799002
2010,"AT22","AT",41686.265808742,1205045,16754.3722764479
2011,"AT34","AT",15256.5613283342,369300,2634.2200822706
2011,"AT12","AT",51966.7916443492,1609474,20165.2826799002
2011,"AT33","AT",28867.7021960364,707517,12339.7244448897
2011,"AT32","AT",24581.6818425281,527886,7480.32361633571
2011,"AT22","AT",42278.5216925549,1206611,16754.3722764479
2011,"AT11","AT",7512.58703802892,284581,4449.33614271091
2011,"AT31","AT",56319.2287091591,1410222,11899.5970177095
2011,"AT13","AT",86500.2678093198,1702855,265.219998763031
2011,"AT21","AT",18798.0717728977,556718,9393.46904950528
2012,"AT34","AT",15231.3315926893,370926,2634.2200822706
2012,"AT22","AT",42773.8903394256,1208696,16754.3722764479
2012,"AT31","AT",56374.9347258486,1413866,11899.5970177095
2012,"AT32","AT",24947.2584856397,529704,7480.32361633571
2012,"AT11","AT",7691.90600522193,285782,4449.33614271091
2012,"AT33","AT",29442.2976501305,711581,12339.7244448897
2012,"AT21","AT",18560.8355091384,556027,9393.46904950528
2012,"AT12","AT",52013.5770234987,1614455,20165.2826799002
2012,"AT13","AT",85620.8877284595,1717084,265.219998763031
2013,"AT34","AT",15461.7980975759,372603,2634.2200822706
2013,"AT33","AT",29600.0818246906,715888,12339.7244448897
2013,"AT31","AT",56689.1684565818,1418498,11899.5970177095
2013,"AT32","AT",24512.6316866114,531898,7480.32361633571
2013,"AT22","AT",42246.0877569807,1210971,16754.3722764479
2013,"AT13","AT",85013.8079165388,1741246,265.219998763031
2013,"AT21","AT",18316.456990897,555473,9393.46904950528
2013,"AT12","AT",51621.1516825202,1618592,20165.2826799002
2013,"AT11","AT",7710.95428045413,286691,4449.33614271091
2014,"AT32","AT",24701.6129032258,534270,7480.32361633571
2014,"AT33","AT",30120.9677419355,722038,12339.7244448897
2014,"AT31","AT",57609.8790322581,1425422,11899.5970177095
2014,"AT12","AT",52414.314516129,1625485,20165.2826799002
