"NUTS_ID","time","EUR_HAB","EUR_HAB_EU","MIO_EUR","MIO_PPS","PPS_HAB","PPS_HAB_EU","U_pc","A_B","C","C_HTC","C_HTC_M","C_HTC_MH","C_LTC","C_LTC_LM","C_LTC_M","D.F","G.U","G_I_T","H49.H52_N79","HTC","J","K","K_L","KIS","KIS_HTC","KIS_MKT_OTH","KIS_OTH","LKIS","LKIS_MKT","LKIS_OTH","M","N","O_U","P","Q","R","S","long","lat","HUClstr","Y2010","Y2011","Y2012","Y2013","Y2014","OLD.EU"
"AT11",2014,26500,97,7638,7033,24400,89,4.7,4.6,13.3,NA,3.3,3.8,4.8,9.4,4.6,12.8,69.4,21.1,4.3,2.3,NA,3.6,4.4,36.9,NA,4.9,26.6,32.4,27.8,4.6,3.9,3.1,9.2,6.7,9.2,NA,3.6,16.5296380672012,47.5464741594656,0,0,0,0,0,1,1
"AT11",2013,26100,98,7484,6878,24000,90,4.1,4.5,13.9,NA,3.8,4.2,5.4,9.7,4.3,12.4,69.2,20.8,4.9,2.7,NA,3.7,4.5,37.6,NA,4.9,27.3,31.6,28.1,3.5,4.3,3.1,9.8,6.7,9,NA,2.8,16.5296380672012,47.5464741594656,0,0,0,0,1,0,1
"AT11",2012,25500,96,7291,6723,23500,88,4.5,4.6,13.6,NA,4,4.7,5.1,8.9,3.8,12.6,69.2,22.6,5.5,3.1,2.3,3.5,4.3,36.5,2.4,5.8,24.8,32.7,29.9,2.8,5.2,2.3,9.2,5.1,8.6,NA,NA,16.5296380672012,47.5464741594656,0,0,0,1,0,0,1
"AT11",2011,24300,93,6936,6263,22000,84,3.5,4.7,12.8,NA,3.6,4.3,5.1,8.4,3.3,13.1,69.5,20.9,5.2,3.4,2.5,3.9,4.9,38,2.7,5.7,25.8,31.4,28.2,3.3,5.2,2.7,10.2,5.5,8.5,NA,NA,16.5296380672012,47.5464741594656,0,0,1,0,0,0,1
"AT11",2010,23400,92,6647,6028,21200,84,3.5,5.8,11.8,NA,2.8,3.6,4.4,8.2,3.9,12.1,70.2,22.3,4.7,2.5,NA,3.8,5.1,37.3,NA,5.8,26,33,29.3,3.7,4.8,2.5,10,6,8.4,NA,2.6,16.5296380672012,47.5464741594656,0,1,0,0,0,0,1
"AT11",2009,22500,92,6376,5681,20100,82,4.8,6.1,12.1,NA,NA,2.8,5.1,9.3,4.2,13.2,68.7,23.2,4.4,2.5,NA,3.5,4.4,35,NA,4.8,25.1,33.7,30.2,3.5,4.4,3,9.9,6.1,8,NA,2.6,16.5296380672012,47.5464741594656,0,0,0,0,0,0,1
"AT12",2014,31400,114,51180,47127,28900,105,4.7,5.8,14.7,1,4,5,5.1,9.7,4.6,10.3,69.2,17.7,5.2,4.2,3,3.2,4.1,40,3.2,6.3,27.2,29.2,25.6,3.6,6.3,3,9.2,6.7,9.5,1.4,2.8,15.7768319013368,48.2691625327422,0,0,0,0,0,1,1
"AT12",2013,31200,117,50549,46455,28700,107,4.5,5.6,15.2,0.7,4.8,5.4,5,9.8,4.8,10.2,69,18.9,5.5,3.4,2.7,3.8,4.7,38.6,2.8,5.8,26.2,30.4,26.8,3.6,5.7,2.9,8.5,6.6,9.4,1.3,2.8,15.7768319013368,48.2691625327422,0,0,0,0,1,0,1
"AT12",2012,30700,116,49687,45821,28400,107,4.3,5.7,15.4,0.6,4.9,5.5,5.4,9.9,4.5,10.2,68.7,20.5,5.3,3.3,2.8,3.6,4.6,36.9,2.7,5.5,25.1,31.8,28.2,3.6,5,2.7,8.2,5.9,9.3,1.3,2.7,15.7768319013368,48.2691625327422,0,0,0,1,0,0,1
"AT12",2011,30100,115,48475,43772,27200,104,4.3,6.4,14.7,0.7,4,4.7,5.1,10,4.9,9.3,69.7,21,4.7,3.4,2.7,4.3,5.4,37.9,2.7,5.8,25.1,31.8,28.3,3.5,5,2.8,8.3,6,9.1,1.4,2.5,15.7768319013368,48.2691625327422,0,0,1,0,0,0,1
"AT12",2010,28700,113,46186,41885,26100,103,3.8,7.7,14.7,0.7,4,4.7,5,10,5,7.8,69.7,21.5,4.1,3.4,2.7,4.4,5.3,38.2,2.7,5.4,25.6,31.5,27.8,3.7,4.8,2.8,8.2,6.4,9.1,1.6,2.6,15.7768319013368,48.2691625327422,0,1,0,0,0,0,1
"AT12",2009,28000,115,44978,40072,25000,102,4.3,7.4,14.5,0.8,3.5,4.4,4.8,10.1,5.3,9.3,68.8,21.7,4.5,3.8,2.7,4,4.6,37.5,3,5.3,25.2,31.4,28.3,3.1,4.6,3,8,6.1,9.4,1.5,2.1,15.7768319013368,48.2691625327422,0,0,0,0,0,0,1
"AT13",2014,47300,172,84211,77542,43500,158,9.9,0.5,6.2,1.1,1.5,2.7,2.2,3.5,1.3,7.7,85.6,20.5,5.3,7.5,6.4,4.7,6.5,49.7,6.3,8,30.7,35.9,31.3,4.5,7.6,5.7,7.5,8.7,10.8,3.3,3,16.3657026406123,48.2211637849777,0,0,0,0,0,1,1
"AT13",2013,47300,177,82904,76190,43400,163,9,0.6,6.5,0.9,2,3,2.1,3.6,1.4,8.3,84.5,20.1,5.4,6.9,5.9,4.6,6.3,50.2,6,9.5,30.2,34.3,30.6,3.7,9.1,5.4,7,8.7,10.6,3.3,2.4,16.3657026406123,48.2211637849777,0,0,0,0,1,0,1
"AT13",2012,47100,177,81343,75013,43400,164,8.5,0.4,7,0.9,2.1,3.1,2.1,3.9,1.8,9,83.7,20.9,5.4,5.8,5,4.8,6.5,48.2,4.9,9.8,28.7,35.5,31.3,4.1,8.8,5.7,6.9,8,10.4,3.2,2.6,16.3657026406123,48.2211637849777,0,0,0,1,0,0,1
"AT13",2011,46800,179,80022,72258,42300,162,7.5,0.6,8,0.9,2.6,3.5,2.9,4.5,1.7,8.8,82.5,20.5,5.3,6.2,5.1,4.9,6.6,47,5.2,8.2,28.7,35.5,31.5,4,7.7,6,6.9,7.7,10.9,3.2,2.7,16.3657026406123,48.2211637849777,0,0,1,0,0,0,1
